date,name,pos,id,Oppt,points,pointsDist,HomeAway,meanPoints,deviationPoints,mean10Day,mean5Day,OpptAverage,OpptAverage5
20160527,Corey Dickerson,LF,572816,nyy,3,0.081300813,0,0.3895062256,0.5692768496,0.2112426036,0.325,0.3483844026,0.4398095238
20160527,Gerardo Parra,LF,467827,sfo,3.2,0.0867208672,0,0.4825198735,0.638949742,0.0014792899,0.2785714286,0.3975292053,0.26
20160527,Gregor Blanco,LF,453923,col,6.5,0.1761517615,1,0.2374134541,0.3304317732,0.2431952663,0.3535714286,0.6804702481,0.6328095238
20160527,Howie Kendrick,LF,435062,nym,6.2,0.1680216802,1,0.0465851782,0.5052487906,0.4036348267,0.5821428571,0.2194579532,0.5118095238
20160527,Hyun Soo Kim,LF,547957,cle,6.2,0.1680216802,1,0.2800809186,0,0.3599605523,0.4857142857,0.1734043931,0.4088095238
20160527,Jarrod Dyson,LF,502481,chw,12.7,0.3441734417,0,0.1441718665,0.0524736866,0.5236686391,0.5071428571,0.1217324953,0.8896666667
20160527,Jayson Werth,LF,150029,stl,3,0.081300813,0,0.3085021512,0.6390013818,0.1824457594,0.1528571429,0.3953058934,0.7890952381
20160527,Jeff Francoeur,LF,425796,mia,15.5,0.4200542005,0,0.17485825,0.4832729415,0.4275147929,0.4285714286,0.2613051902,0.6652380952
20160527,Jorge Soler,LF,624585,phi,25.2,0.6829268293,0,0.2540957917,0.5059341406,0.6222879684,0.5607142857,0.2333934148,0.6112380952
20160527,Jose Ramirez,LF,608070,bal,21.2,0.5745257453,0,0.5577969627,0.4595173946,0.3974358974,0.5107142857,0.3650387356,0.6293333333
20160527,Justin Upton,LF,457708,oak,6.2,0.1680216802,1,0.0545345756,0.3722119025,0.1582840237,0,0.5643747947,0.8577142857
20160527,Matt Holliday,LF,407812,was,9.7,0.2628726287,1,0.4332848961,1,0.1457100592,0.3416666667,0.1062002371,0.564952381
20160527,Melky Cabrera,LF,466320,kan,29.2,0.7913279133,1,0.3320084338,0.4597117012,0.2195266272,0.385,0.3275460934,0.728952381
20160527,Melvin Upton Jr.,LF,425834,ari,12.7,0.3441734417,1,0.4505798216,0.8817242006,0.1278763971,0.2741071429,0.6325972264,1
20160527,Michael Saunders,LF,459431,bos,9,0.243902439,0,0.5632390233,0.5487348216,0.5157790927,0.3875,0.3272709407,0.4700952381
20160527,Rafael Ortega,LF,542364,hou,9.2,0.2493224932,0,0.2420292333,0.5225724032,0.2344674556,0.3383928571,0.6123245535,0.4904761905
20160527,Rickie Weeks Jr.,LF,430001,sdg,3,0.081300813,0,0.6134427444,0.4719424188,1,0.775,0.5708149993,0.723047619
20160527,Robbie Grossman,LF,543257,sea,16,0.433604336,1,0.990967889,0.7642448423,0.5,0.3580357143,0.1340717108,0.488
20160527,Ryan Braun,LF,460075,cin,18,0.487804878,0,0.8998632362,0.7437493007,0.5426035503,0.5482142857,1,0.5028571429
20160527,Ryan Rua,LF,607387,pit,12,0.325203252,0,0.5003988945,0.7616990373,0.4349112426,1,0.7019297534,0.4436666667
20160527,Starling Marte,LF,516782,tex,36.9,1,1,0.7543379776,0.5150633967,0.2557058326,0.3607142857,0.3086723022,0.6192380952
20160527,Tyler Goeddel,LF,595963,chc,6,0.162601626,1,0,0.349097291,0.1782544379,0.3017857143,0,0.4205714286
20160527,Yoenis Cespedes,LF,493316,lad,6.2,0.1680216802,0,1,0.7820082512,0.4743589744,0.4401785714,0.1398895428,0
20160527,Adam Jones,CF,430945,cle,12.2,0.3848580442,1,0.3970175561,0.5791387593,0,0,0.1734043931,0.4088095238
20160527,Andrew McCutchen,CF,457705,tex,28.4,0.8958990536,1,0.6001221426,0.7062014135,0.4733593242,0.4268476621,0.3086723022,0.6192380952
20160527,Austin Jackson,CF,457706,kan,9.2,0.2902208202,1,0.2844221805,0.3170504073,0.3131254061,0.5327300151,0.3275460934,0.728952381
20160527,Ben Revere,CF,519184,stl,6,0.1892744479,0,0.3600810161,0.751290696,0.6305230669,0.8491704374,0.3953058934,0.7890952381
20160527,Billy Burns,CF,542993,det,0,0,0,0.4234946698,0.3731660449,0.39514295,0.653092006,0.672790004,0.7365714286
20160527,Billy Hamilton,CF,571740,mil,6.2,0.1955835962,1,0.3399506791,0.3550426672,0.1565951917,0.0030165913,0.7218771206,0.3207619048
20160527,Cameron Maybin,CF,457727,oak,15.7,0.4952681388,1,1,0.1978691624,0.8125406108,0.6304675716,0.5643747947,0.8577142857
20160527,Charlie Blackmon,CF,453568,sfo,15.7,0.4952681388,0,0.6382105336,0.4024863101,0.5217673814,0.6621417798,0.3975292053,0.26
20160527,Chris Owings,CF,572008,sdg,0,0,0,0.4329645864,0.3495216347,0.5142949968,0.4177978884,0.5708149993,0.723047619
20160527,Danny Santana,CF,542454,sea,9.2,0.2902208202,1,0.4631291697,0.4380894269,0.4437946719,0.3303167421,0.1340717108,0.488
20160527,Denard Span,CF,452655,col,3,0.094637224,1,0.4723903616,0.4384668915,0.2577160494,0.115635998,0.6804702481,0.6328095238
20160527,Desmond Jennings,CF,457775,nyy,0,0,0,0.2893078844,0.5164050829,0.2876868096,0.0512820513,0.3483844026,0.4398095238
20160527,Dexter Fowler,CF,451594,phi,9,0.2839116719,0,0.7940351121,0.5251299044,0.5620532814,0.4283559578,0.2333934148,0.6112380952
20160527,Ender Inciarte,CF,542255,mia,6,0.1892744479,0,0.2918821556,0.1210231641,0.4360786225,0.3619909502,0.2613051902,0.6652380952
20160527,Ian Desmond,CF,435622,pit,3,0.094637224,0,0.6667439721,0.7843402404,0.6268680962,0.7028657617,0.7019297534,0.4436666667
20160527,Jackie Bradley Jr.,CF,598265,tor,12.7,0.4006309148,1,0.6927959059,0.8607697737,0.6400259909,0.3755656109,0.2781131662,0.4436190476
20160527,Jacoby Ellsbury,CF,453056,tam,6,0.1892744479,1,0.5430166129,0.5620494543,0.6780376868,0.6163901458,0.2301877059,0.7605238095
20160527,Jake Marisnick,CF,545350,laa,0,0,1,0,0,0.1604938272,0.3167420814,0.5367197983,0.7573333333
20160527,Joc Pederson,CF,592626,nym,0,0,1,0.6241254822,0.5437297084,0.7970853059,0.7471091001,0.2194579532,0.5118095238
20160527,Jon Jay,CF,445055,ari,15.4,0.4858044164,1,0.4087989054,0.3291927086,0.3902348464,0.4208144796,0.6325972264,1
20160527,Juan Lagares,CF,501571,lad,31.7,1,0,0.1425048509,0.1603569144,0.236517219,0.419306184,0.1398895428,0
20160527,Keon Broxton,CF,542979,cin,15.2,0.4794952681,0,0.0684694296,0.1937194772,0.1487979207,0.419306184,1,0.5028571429
20160527,Kevin Pillar,CF,607680,bos,12.2,0.3848580442,0,0.3272725867,0.499427933,0.0128330084,0.1387631976,0.3272709407,0.4700952381
20160527,Lorenzo Cain,CF,456715,chw,0,0,0,0.5416173844,0.7464138202,0.5692007797,0.6591251885,0.1217324953,0.8896666667
20160527,Marcell Ozuna,CF,542303,atl,15.5,0.4889589905,1,0.6779532611,0.4563966651,0.7641325536,0.8742081448,0.6267932485,0.6483809524
20160527,Mike Trout,CF,545361,hou,25.7,0.8107255521,0,0.7537744382,0.8133133426,0.726445744,0.5143288084,0.6123245535,0.4904761905
20160527,Norichika Aoki,CF,493114,min,6,0.1892744479,0,0.3525669272,0.2236856725,0.2908196417,0.419306184,0.6962260428,0.9664761905
20160527,Odubel Herrera,CF,546318,chc,12.2,0.3848580442,1,0.596334176,0.6493680209,0.4261579876,0.8054298643,0,0.4205714286
20160527,Rajai Davis,CF,434658,bal,3,0.094637224,0,0.6996838207,1,1,0.4766214178,0.3650387356,0.6293333333
20160527,Randal Grichuk,CF,545341,was,0,0,1,0.5357344403,0.5847976778,0.6107862248,1,0.1062002371,0.564952381
20160527,Addison Russell,SS,608365,phi,6.2,0.1534653465,0,0.6725663717,0.5857180655,0.2929117443,0.5705645161,0.2333934148,0.6112380952
20160527,Adeiny Hechavarria,SS,588751,atl,0,0,1,0.2798604198,0.4941374886,0.3867268937,0.5560483871,0.6267932485,0.6483809524
20160527,Alcides Escobar,SS,444876,chw,12.4,0.3069306931,0,0.4100769004,0.3762971393,0.3898540653,0.2459677419,0.1217324953,0.8896666667
20160527,Aledmys Diaz,SS,649557,was,6.2,0.1534653465,1,0.7501996346,0.7147727635,0.4140375261,0.3060483871,0.1062002371,0.564952381
20160527,Alexei Ramirez,SS,493351,ari,9,0.2227722772,1,0.186879902,0.1858831805,0,0.1646505376,0.6325972264,1
20160527,Asdrubal Cabrera,SS,452678,lad,9.2,0.2277227723,0,0.3395429734,0.2414749801,0.3490850127,0.5181451613,0.1398895428,0
20160527,Brad Miller,SS,543543,nyy,0,0,0,0.5238631764,0.7273885543,1,0.6404569892,0.3483844026,0.4398095238
20160527,Brandon Crawford,SS,543063,col,0,0,1,0.6091208419,0.7016450357,0.9059532082,0.8346774194,0.6804702481,0.6328095238
20160527,Carlos Correa,SS,621043,laa,3,0.0742574257,1,0.6361180087,0.7631289203,0.1322677785,0,0.5367197983,0.7573333333
20160527,Corey Seager,SS,608369,nym,6,0.1485148515,1,0.6767887811,0.6135056363,0.3685429697,0.25,0.2194579532,0.5118095238
20160527,Danny Espinosa,SS,457787,stl,18.7,0.4628712871,0,0.221151427,0.2434610128,0.1738707436,0.3028225806,0.3953058934,0.7890952381
20160527,Didi Gregorius,SS,544369,tam,9,0.2227722772,1,0.329358872,0.4277246291,0.4774148714,0.6834677419,0.2301877059,0.7605238095
