date,name,pos,id,Oppt,points,pointsDist,HomeAway,meanPoints,variancePoints,deviationPoints,mean10Day,mean5Day,meanHomeAway,meanRightLeft,OpptWins,OpptAverage,OpptPointsAverage10,OpptAverage5,OpptPosTotalPointsAverage,OpptPosTotalPointsAverage10
20160613,Ichiro Suzuki,RF,400085,sdg,28.1,1,1,0.5917449017,0.3522440522,0.496190396,0.6002252252,0.7117117117,0.5919282511,0.3310605077,0.28,0.6031605232,0.6127350777,0.4707324548,0.6117228145,0.6127350777
20160613,Jake Smolinski,RF,519295,tex,19,0.6761565836,0,1,0.5886321056,0.7077374366,1,1,1,1,0.84,0.284020278,0.0936222404,0.4468280723,0.361687312,0.0936222404
20160613,Jason Heyward,RF,518792,was,0,0,1,0.6450031962,0.4754982602,0.6122036044,0.5917792793,0.7961711712,0.878206278,0.4275509762,0.84,0.1725450444,0.6279129191,0.1751455716,0.1600107598,0.6279129191
20160613,Jay Bruce,RF,457803,atl,25.2,0.896797153,1,0.8698186285,1,1,0.5965965966,0.4522522523,0.7713004484,0.616866531,0,0.6383178532,0.6711467702,0.923689856,0.479743344,0.6711467702
20160613,Kole Calhoun,RF,594777,min,0,0,0,0.6732430027,0.6222414137,0.7345249549,0.6099099099,0.3126126126,0.476735426,0.388011025,0.04,0.7158920787,0.7254190515,1,0.744271369,0.7254190515
20160613,Lonnie Chisenhall,RF,502082,kan,9,0.3202846975,1,0.4348905128,0.4886380872,0.6237715862,0.2792792793,0.106981982,0.366367713,0.257868306,0.56,0.3732831481,0.4963716271,0.3773623455,0.2059917224,0.4963716271
20160613,Matt Kemp,RF,461314,mia,24.7,0.8790035587,0,0.594602725,0.9689133666,0.980128418,0.4269269269,0.2387387387,0.4374977578,0.7782371531,0.56,0.3439466827,0.1794766966,0.5835121054,0.4687516097,0.1794766966
20160613,Max Kepler,RF,596146,laa,3.5,0.1245551601,1,0.2492448077,0.35014051,0.4940749963,0.3597168597,0.6591591592,0,0.3643303462,0.36,0.5408018921,1,0.539534171,0.6640275788,1
20160613,Mike Aviles,RF,449107,chw,0,0,1,0.108634888,0.1123206939,0.2067613739,0.3164414414,0.3468468468,0.0071748879,0.1344863414,0.52,0.3022192248,0.7189799673,0.4350291143,0.4127756019,0.7189799673
20160613,Nick Markakis,RF,455976,cin,3.2,0.1138790036,0,0.4311176847,0.3021595012,0.44432963,0.3148148148,0.2781531532,0.402044843,0.3429152777,0.24,1,0.2429476697,0.4834508121,0.9221456357,0.2429476697
20160613,Peter Bourjos,RF,488721,tor,19.2,0.6832740214,1,0,0.2775416562,0.4175852893,0.0675675676,0,0.2152466368,0,0.68,0.3568100324,0.5711365495,0.8899785473,0.3724367107,0.5711365495
20160613,Ramon Flores,RF,570717,sfo,18.7,0.665480427,1,0.158220629,0.1841004843,0.3064938666,0.283033033,0.25,0.3491390135,0.0875723336,0.8,0.3164393801,0.5342833781,0.2731637552,0.3697807765,0.5342833781
20160613,Reymond Fuentes,RF,571681,cle,6,0.2135231317,0,0.1662927263,0.1004398483,0.1885336122,0.3753753754,0,0,0.1536430148,0.68,0.2319548286,0,0.3075390745,0.2191214042,0
20160613,Shin-Soo Choo,RF,425783,oak,21.7,0.7722419929,1,0.4311803562,0,0,0,0,0.4544125561,0.1233386727,0.32,0.4649486058,0.121130709,0,0.5724523166,0.121130709
20160613,Trayce Thompson,RF,572204,ari,6,0.2135231317,1,0.7117609456,0.8070063904,0.8714937265,0.5690690691,0.2443693694,0.4918565022,0.5201812488,0.4,0.5622238062,0.4646361406,0.1738686281,0.8740293648,0.4646361406
20160613,Yasmany Tomas,RF,630111,lad,0,0,0,0.5149973051,0.5904654782,0.7092158561,0.3404118404,0.3423423423,0.363058296,0.2403639407,0.6,0.131099717,0.0134403107,0.432526305,0.1604871669,0.0134403107
20160611,A.J. Pierzynski,C,150229,chc,0,0,0,0.2412493466,0.0517917554,0.0878101413,0.1671064204,0.15625,0.2311668453,0.2624411427,1,0,0.3449562115,0.4003212206,0.1058670143,0.3449562115
20160611,Bobby Wilson,C,435064,sea,3,0.1167315175,1,0.4731359297,0.6550434527,0.7412824893,0.3043095866,0.484375,0.7441848869,0.9487379998,0.6956521739,0.2833731958,0.2610732692,0.1682895001,0.0923076923,0.2610732692
20160611,Brian McCann,C,435263,det,3,0.1167315175,0,0.6226375299,0.5079229786,0.614450401,0.4722955145,0.69921875,0.8130188726,0.6937008136,0.5217391304,0.5024579152,0.1723970159,0.4746034933,0.5517261905,0.1723970159
20160611,Buster Posey,C,457763,lad,12.7,0.4941634241,0,0.675760438,0.7599994893,0.8249386019,0.3788918206,0.4947916667,0.6699741551,0.8360148412,0.652173913,0.1053440986,0.2893285761,0.1473599679,0.3488523573,0.2893285761
20160611,Cameron Rupp,C,519237,was,6,0.233463035,1,0.4349512604,0.3143069732,0.4241366138,0.4890061566,0,0.4632976823,0.5277939537,0.8260869565,0.1795521756,0.1530976322,0.3543967075,0,0.1530976322
20160611,Chris Gimenez,C,460269,laa,0,0,1,0.3141706939,0.3249117615,0.4354560793,0.1150395778,0.2152777778,0.356302926,0.3198176464,0.347826087,0.5230353201,0.467564061,0.7460349327,0.4791208791,0.467564061
20160611,Chris Herrmann,C,543302,mia,18.7,0.7276264591,0,1,1,1,0.4907651715,0.9739583333,1,1,0.6086956522,0.3182321357,0.3880960104,0.8183095764,0.3175824176,0.3880960104
20160611,Chris Stewart,C,455755,stl,0,0,0,0.4390228246,0.1582633222,0.2403695615,0.3102902375,0.578125,0.3894276715,0.5058649319,0.652173913,0.3788988576,0.5942264029,0.6462055812,0.5675824176,0.5942264029
20160611,Curt Casali,C,592200,hou,3,0.1167315175,0,0.4125576576,0.6394480704,0.7284065693,0.6385224274,0.4036458333,0.3874664473,0.2199890189,0.4782608696,0.498117058,0.7192128879,0.4263702068,0.473294959,0.7192128879
20160611,Derek Norris,C,519083,col,6,0.233463035,1,0.4199029794,0.5336811566,0.6375864849,0.6266490765,0.6458333333,0.3930343297,0.2908340682,0.4347826087,0.6883157298,0.3458391898,0.4009235093,0.6574175824,0.3458391898
20160611,Dioner Navarro,C,425900,kan,0,0,0,0.3381507396,0.3391021912,0.4504141698,0,0.078125,0.4471923745,0.2913914447,0.5217391304,0.3957820628,0.8183587415,0.874723951,0.5011721612,0.8183587415
20160611,Dustin Garneau,C,572863,sdg,0,0,0,0.411512256,0.4272300769,0.5389649644,0.3764291996,0.6354166667,0.5190928507,0.4267757017,0.3043478261,0.6065728508,0.3483619851,0.5456735595,0.4175070897,0.3483619851
