date,name,pos,id,Oppt,points,pointsDist,HomeAway,meanPoints,deviationPoints,OpptAverage
20160629,Chris Carter,1B,474892,lad,6.2,0.1635883905,0,0.6228199112,0.7673301155,0.0878860178
20160629,Chris Davis,1B,448801,sdg,0,0,1,0.8635695508,0.7812757844,0.5771874197
20160629,Chris Johnson,1B,453400,det,9.5,0.2506596306,1,0,0.1500697364,0.5008313542
20160629,David Freese,1B,501896,sea,24.9,0.6569920844,1,0.5740170167,0.3752382573,0.2829975382
20160629,Edwin Encarnacion,1B,429665,col,21.9,0.5778364116,1,0.9520875145,1,0.7298463304
20160629,Eric Hosmer,1B,543333,stl,3,0.0791556728,1,0.6965966588,0.486732584,0.1991392539
20160629,Freddie Freeman,1B,518692,cle,0,0,0,0.5710772536,0.5781409054,0.0725529433
20160629,Hanley Ramirez,1B,434670,tam,0,0,1,0.6079373604,0.3499133981,0.3815036282
20160629,James Loney,1B,425766,was,22.2,0.5857519789,1,0.2689600588,0.4979975164,0.111840795
20160629,Joe Mauer,1B,408045,chw,0,0,1,0.4048817028,0.1980288806,0.3235605957
20160629,Joey Votto,1B,458015,chc,12,0.3166226913,0,0.6694886508,0.5390651092,0
20160629,Mark Reynolds,1B,448602,tor,15.7,0.4142480211,0,0.5464567374,0.4258197335,0.3094444041
20160629,Matt Adams,1B,571431,kan,0,0,0,0.5693953699,0.5445435838,0.3198184798
20160629,Miguel Cabrera,1B,408234,mia,37.9,1,0,0.7510670775,0.7206280727,0.2843971714
20160629,Mike Napoli,1B,435063,atl,3,0.0791556728,1,0.7263334935,0.4864342558,0.5117421309
20160629,Mitch Moreland,1B,519048,nyy,0,0,1,0.3640924895,0.3183096407,0.3386882052
20160629,Paul Goldschmidt,1B,502671,phi,16.2,0.4274406332,0,0.9379540379,0.6785052424,0.5351729
20160629,Rob Refsnyder,1B,608701,tex,15.2,0.401055409,0,0.3446589592,0.0378358186,0.1942240105
20160629,Ryan Zimmerman,1B,475582,nym,0,0,0,0.4594369223,0.4940736439,0.2535568992
20160629,Taylor Motter,1B,600301,bos,0,0,0,0.1167566498,0.5505823346,0.3500845005
20160629,Todd Frazier,1B,453943,min,27.9,0.7361477573,0,0.6828447862,0.7061334871,0.6573948053
20160629,Tommy Joseph,1B,571830,ari,0,0,1,0.4479464059,0.6499375319,0.500791393
20160629,Wil Myers,1B,571976,bal,22.2,0.5857519789,0,0.9922548548,0.992886924,0.3688862115
20160629,Yonder Alonso,1B,475174,sfo,22.2,0.5857519789,0,0.0306696441,0,0.2768586409
20160627,Anthony Rizzo,1B,519203,cin,30.7,0.5781544256,1,0.9916042156,0.8348376821,1
20160627,Brandon Belt,1B,474832,oak,0,0,0,0.7168639972,0.5418362149,0.461813557
20160627,C.J. Cron,1B,543068,hou,6.5,0.1224105461,0,0.3778398593,0.5152358384,0.4324420496
20160627,David Freese,1B,501896,lad,0,0,0,0.6233722082,0.3950928755,0.1125956423
20160627,Edwin Encarnacion,1B,429665,col,40.9,0.7702448211,1,0.911504294,1,0.7219051741
20160627,Eric Hosmer,1B,543333,stl,22.4,0.4218455744,0,0.6846703029,0.5102934262,0.226556169
20160627,Freddie Freeman,1B,518692,cle,9,0.1694915254,0,0.5830044492,0.6184118978,0.0995249412
20160627,Hanley Ramirez,1B,434670,tam,6.2,0.1167608286,1,0.6022497155,0.3644100551,0.38647916
20160627,James Loney,1B,425766,was,9.2,0.1732580038,1,0.3050271237,0.5513640941,0.1519136082
20160627,Jedd Gyorko,1B,576397,kan,0,0,1,0.4774658921,0.6495862815,0.351648945
20160627,Joey Votto,1B,458015,chc,53.1,1,0,0.6168684316,0.3766146811,0
20160627,Logan Morrison,1B,489149,bos,16.2,0.3050847458,0,0.373257653,0.4996092296,0.3682077887
20160627,Mark Reynolds,1B,448602,tor,15.7,0.2956685499,0,0.5558068378,0.4532295095,0.3206434204
20160627,Mark Teixeira,1B,407893,tex,27.9,0.5254237288,0,0.0195556738,0.2617896519,0.2190694741
20160627,Mike Napoli,1B,435063,atl,18.9,0.3559322034,1,0.7240477141,0.5085910158,0.5320718131
20160627,Mitch Moreland,1B,519048,nyy,3,0.0564971751,1,0.3751792234,0.3367571059,0.351144403
20160627,Paul Goldschmidt,1B,502671,phi,6,0.1129943503,0,1,0.7046238238,0.5863601288
20160627,Ryan Zimmerman,1B,475582,nym,6,0.1129943503,0,0.4845165772,0.5277791502,0.2396910787
20160627,Scott Van Slyke,1B,475100,pit,3,0.0564971751,1,0.1342142994,0.4902881581,0.6254926476
20160627,Tommy Joseph,1B,571830,ari,0,0,1,0.4970067846,0.6787249546,0.5314935822
20160627,Yonder Alonso,1B,475174,sfo,15.4,0.2900188324,1,0,0,0.2654474009
20160625,Adrian Gonzalez,1B,408236,pit,0,0,1,0.2991956793,0.3334969312,0.6280640098
20160625,Anthony Rizzo,1B,519203,mia,12,0.3125,1,1,0.8753211371,0.2911676217
20160625,Brandon Belt,1B,474832,phi,3,0.078125,0,0.7347629141,0.5661943387,0.5699894151
20160625,Brandon Moss,1B,461235,sea,0,0,1,0.8564998984,0.7597541128,0.2910268376
20160625,Byungho Park,1B,666560,nyy,0,0,1,0.3600859491,0.4987872577,0.3443092801
