date,name,pos,id,Oppt,points,pointsDist,HomeAway,meanPoints,variancePoints,deviationPoints,mean10Day,mean5Day,meanHomeAway,meanRightLeft,OpptWins,OpptAverage,OpptPointsAverage10,OpptAverage5,OpptPosTotalPointsAverage,OpptPosTotalPointsAverage10,OpptPosTotalPointsAverage5,opptPitchMean,opptPitchVar,opptPitchMean10,opptPitchMean5,opptPitchMeanHA
20160510,Evan Longoria,3B,446334,sea,3.5,0.0935828877,1,0.4864197531,0.3480387421,0.492996545,0.6518083756,0.3724928367,0.4737165001,0.9515724802,0.7058823529,0.1866582858,0.243774574,0.5019224607,0.2450156393,0.243774574,0.4264862941,0.6506024096,0.31312751,0.847826087,0.8333333333,0.8301886792
20160510,Jake Lamb,3B,571875,col,0,0,1,0.7904197531,0.668908334,0.7712303921,1,0.976599809,0.8209584605,0.7876722138,0.4705882353,0.7415392945,1,0.684556232,0.8663992714,1,0.9006763973,0.4457831325,0.3958019578,0.402173913,0.4537037037,0.1509433962
20160510,Javier Baez,3B,595879,sdg,9,0.2406417112,0,0.4606320988,0.548895199,0.675931128,0.2829949239,0,0.1786144181,0.7089049924,0.3529411765,0.5406169874,0.4054718218,0.3328527181,0.6530809809,0.4054718218,0.6991812033,0.6345373494,0.0581492637,0.6304347826,0.5555555556,0.7924528302
20160510,Josh Donaldson,3B,518626,sfo,3,0.0802139037,1,0.8689876543,0.435587348,0.5771240174,0.3914974619,0.4393505253,0.702552633,0.9174591127,0.5882352941,0.6627871731,0.6965923984,0.1501121435,1,0.6965923984,0.419010324,0.3012048193,0.1454254518,0.097826087,0.1944444444,0.3537735849
20160510,Juan Uribe,3B,346874,hou,3.5,0.0935828877,1,0.0751308642,0.0627124674,0.1270203549,0.0355329949,0.2387774594,0,0.4654426718,0.3529411765,0.5930646486,0.4416775885,0.1139057994,0.3397274393,0.4416775885,0.419010324,0.6506024096,0.0677710843,0.5869565217,0.6111111111,0.7735849057
20160510,Justin Turner,3B,457759,nym,3,0.0802139037,0,0.3109234568,0.1174729492,0.2155273194,0.3662753807,0.514565425,0.0401261173,0.5597914817,0.7647058824,0.1500071067,0.2745740498,0,0.0198454332,0.2745740498,0.0911356355,0.8253012048,0.3420321913,0.6195652174,0.6388888889,0.5943396226
20160510,Luis Valbuena,3B,472528,cle,6,0.1604278075,0,0.1523950617,0.1486014409,0.260253345,0.2964784264,0.5527698185,0.2495398737,0.4345086358,0.4705882353,0.1449244136,0.4165301442,0.2547260493,0.3210140664,0.4165301442,0.1947312211,0.5662650602,0.1360128012,0.5108695652,0.5462962963,0.4339622642
20160510,Maikel Franco,3B,596748,atl,27.9,0.7459893048,1,0.3995061728,0.6004255558,0.7178806646,0.1790926396,0.4966571156,0.5783301882,0.6099017558,0,0.6949723266,0.4962553829,0.5588486596,0.7058835318,0.4962553829,0.309006764,0.6843373494,0.3438253012,0.6195652174,1,0.6100622642
20160510,Martin Prado,3B,445988,mil,3,0.0802139037,0,0.5148148148,0.0560665733,0.1151634489,0.4162436548,0.5861986628,0.2557214858,0.6983501847,0.3529411765,1,0.3197903014,0.5551105415,0.9251245419,0.3197903014,0.0911356355,0.313253012,0.2795557229,0.4239130435,0.5,0
20160510,Matt Carpenter,3B,572761,laa,37.4,1,1,0.6813135802,0.4264598713,0.5687082978,0.4915926396,0.7736389685,0.6096187747,0.9619124681,0.3529411765,0.4515374195,0.3690320165,0.3364840329,0.7436542269,0.3690320165,0,0.7550192771,0.6329484605,0.2934782609,0.462962963,0.8867924528
20160510,Matt Duffy,3B,622110,tor,3,0.0802139037,0,0.4339555556,0.3758425958,0.5205831414,0.5671178793,0.6781279847,0.4124517547,0.4648913012,0.5882352941,0.2413476506,0.3053735256,0.1509131689,0.7137253779,0.3053735256,0.2929868281,0.8393566265,0.1125857597,0.8369565217,0.8240740741,0.7672962264
20160510,Nick Castellanos,3B,592206,was,28.2,0.7540106952,1,0.7491654321,0.5858078109,0.7061481115,0.7433728144,0.7841451767,0.7935760936,1,0.7647058824,0.1816951283,0.6933158585,0.8835309196,0.63902707,0.6933158585,1,0.8722891566,0.455873494,0.8695652174,0.8518518519,1
20160510,Nolan Arenado,3B,571448,ari,0,0,0,1,1,1,0.6776649746,0.7717287488,1,0.9962621373,0.5294117647,0.6400754422,0.2322247706,0.0823454021,0.4761079936,0.2322247706,0.0270558918,0.6746987952,1,0.8695652174,0.4259259259,0.4716981132
